pkd_section;pkd_2025;pkd_name;year;revenue;net_profit;investments;firms;profitable_firms;profit_margin;profitable_share;bank_debt;total_liab;leverage_bank_to_rev;leverage_tot_to_rev;invest_intensity;cagr_revenue;cagr_net_profit;cagr_investments;cagr_firms;profit_margin_std_3y;size_index;growth_index;profit_index;risk_index;outlook_index;current_index;future_index;main_index;class;Pred1;Pred2;Pred3
96;96;POZOSTAŁA INDYWIDUALNA DZIAŁALNOŚĆ USŁUGOWA;2018;8058.809999999999;828.6600000000001;505.31;420.0;282.0;0.102826595986256;0.6714285714285714;1518.35;3292.78;0.1884087104671781;0.4085938246465669;0.0627028059974115;0.1392372590696902;0.0813315012938895;0.4973759233582371;0.0097093450822418;0.0033205974475996;1.1573832897528136;9.571866813794845;80.58806682398188;96.37302233139268;19.42798166414129;51.68336676681254;39.554659409212775;46.83188382377264;Gwiazdy wzrostu;592.2473570089948;592.2473570089948;592.2473570089948
22;22;PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH;2018;275306.02;14296.4;16262.51;4023.0;3399.0;0.0519291223635429;0.8448918717375093;36313.83;91232.88;0.1319035086846266;0.3313871596414782;0.0590706661626941;0.0741465567273897;0.0266101883914404;0.0802484323105436;-0.0142497087596167;0.0066610214865166;15.870294947150692;8.40055344540069;77.18303087841076;95.98331570969832;11.42016358653323;53.3649497832925;35.883226181142994;46.372260342432696;Gwiazdy wzrostu;16968.359158975018;16968.359158975018;16968.359158975018
49;49;TRANSPORT LĄDOWY ORAZ TRANSPORT RUROCIĄGOWY;2018;264962.52;9435.14;21178.38;7100.0;5452.0;0.0356093382565956;0.767887323943662;31135.35;95243.07;0.1175085064861249;0.3594586509820332;0.0799297198713236;0.0653806530042604;0.045961545321298;0.0217859025360653;-0.016131853193803;0.0030105398734332;22.673968758519447;8.267397164783784;69.46004482204512;97.12050099298114;10.29782733961049;53.10280454630546;35.73550038317367;46.15588288105274;Gwiazdy wzrostu;16727.023017089792;16727.023017089792;16727.023017089792
17;17;PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU;2018;129004.91;11468.36;6935.29;1296.0;1070.0;0.0888986318427725;0.8256172839506173;21414.55;44323.65;0.1659979453495219;0.343581108657027;0.0537598917746619;0.0807435922970092;0.1368966060610477;0.0076242159867039;-0.0068495300324429;0.0081268649327608;6.086154119647325;8.615643963794263;84.99233349121118;95.25086206760054;10.025957918406531;53.194483807960985;35.17033497678105;45.98482427548901;Gwiazdy wzrostu;8301.607698729085;8301.607698729085;8301.607698729085
62;62;DZIAŁALNOŚĆ ZWIĄZANA Z OPROGRAMOWANIEM I DORADZTWEM W ZAKRESIE INFORMATYKI ORAZ DZIALALNOŚĆ POWIĄZANA;2018;115957.05;8150.46;2439.27;3537.0;2895.0;0.0702886111711189;0.818490245971162;6339.9;26633.11;0.0546745540698042;0.2296808171646312;0.0210359784075224;0.1022807909227858;0.1401670942086246;0.0288502096440721;0.0850190618298141;0.0124138476954746;10.9081446047553;8.98955692102544;80.21973941827275;95.0511393745805;10.433444596634684;52.99929481814976;35.38558672733566;45.95381158182411;Gwiazdy wzrostu;6398.897684910456;6398.897684910456;6398.897684910456
28;28;PRODUKCJA MASZYN I URZĄDZEŃ, GDZIE INDZIEJ NIESKLASYFIKOWANA;2018;148236.49;7361.19;7273.49;2789.0;2307.0;0.0496584208112321;0.8271782000717103;14810.28;47687.4;0.0999098130291671;0.3216981189989051;0.0490667985999938;0.0624168894529679;0.0535081185256895;0.1062466564800888;-0.0069536721902789;0.0032252428626138;9.973001512889413;8.22330054229429;75.75849953472692;97.3264746424706;11.919265309528482;52.18799271457437;36.43263867924086;45.88585110044096;Gwiazdy wzrostu;8877.47065875086;8877.47065875086;8877.47065875086
41;41;ROBOTY BUDOWLANE ZWIĄZANE ZE WZNOSZENIEM BUDYNKÓW;2018;139384.3;7492.96;6249.05;3716.0;3230.0;0.0537575609304634;0.8692142088266954;14012.07;63281.630000000005;0.1005283234912396;0.4540083065309365;0.0448332416204694;0.0328963532521695;-0.1380466932542415;-0.0016523762232404;-0.0154753685813948;0.0053775518029458;11.884208919198766;7.538653477239066;78.8330444842068;96.03736159786374;9.847870248829038;52.78097475356034;35.01195262206245;45.67336590096119;Gwiazdy wzrostu;9143.898057969667;9143.898057969667;9143.898057969667
12;12;PRODUKCJA WYROBÓW TYTONIOWYCH;2018;30166.68;1104.56;2641.24;22.0;22.0;0.0366152324352563;1.0;6231.76;11548.98;0.2065775882529996;0.3828389468115152;0.087554878428783;0.0764056578819991;0.3898501256110622;0.1267901443819863;0.0;0.0028010887635156;0.7789197525097757;8.773691847160055;81.30438186827723;96.5460085152589;12.313649562133708;51.63910493393895;36.521369933579166;45.59201093379503;Gwiazdy wzrostu;2001.9771753875164;2001.9771753875164;2001.9771753875164
69;69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;2018;22813.74;2239.2;448.56;1368.0;1136.0;0.0981513771963737;0.8304093567251462;2591.24;7392.219999999999;0.1135824288345531;0.3240249077967926;0.0196618353676337;0.0882437688893684;0.1361358774970662;0.096035535075293;0.0734380612270206;0.0177389004033244;3.686812700537737;8.744108542823257;87.42765549997576;92.55820245019196;11.72323698645489;52.547764285864886;35.07998809248652;45.56065380851354;Gwiazdy wzrostu;1477.7125073310517;1477.7125073310517;1477.7125073310517
42;42;ROBOTY ZWIĄZANE Z BUDOWĄ OBIEKTÓW INŻYNIERII LĄDOWEJ I WODNEJ;2018;183520.75;8291.78;4736.61;4119.0;3588.0;0.0451817028864583;0.8710852148579752;30387.47;91025.63;0.1655805678649417;0.4959963927784732;0.0258096700236894;0.0380808039067939;0.0640389068951052;0.0122380905336441;-0.0414646351068602;0.0054709780612537;13.873854158551564;7.813885621873503;76.89150483933318;95.4269287871226;10.114532919569854;52.57919708314877;35.01805749052677;45.55474124609997;Gwiazdy wzrostu;12540.255383792031;12540.255383792031;12540.255383792031
